star,lat,long,order_day,checkin_day,size,orientation,bed,attribute_number,max_guest_number,have_breakfast,cancel_ticket,price
1,11.959463000000001,108.44343899999998,25-11-2018,26-11-2018,24,Hướng vườn,2 Giường đôi,5,4,0,1,139000
1,11.959463000000001,108.44343899999998,25-11-2018,27-11-2018,16,Hướng phố,1 Giường đôi,5,2,0,1,139000
1,11.959463000000001,108.44343899999998,25-11-2018,27-11-2018,12,Hướng phố,1 Giường đôi,5,1,0,1,139000
1,11.959463000000001,108.44343899999998,25-11-2018,27-11-2018,24,Hướng vườn,2 Giường đôi,5,4,0,1,139000
1,11.959463000000001,108.44343899999998,25-11-2018,28-11-2018,16,Hướng phố,1 Giường đôi,5,2,0,1,139000
1,11.959463000000001,108.44343899999998,25-11-2018,28-11-2018,12,Hướng phố,1 Giường đôi,5,1,0,1,139000
1,11.959463000000001,108.44343899999998,25-11-2018,28-11-2018,24,Hướng vườn,2 Giường đôi,5,4,0,1,139000
1,11.959463000000001,108.44343899999998,25-11-2018,29-11-2018,16,Hướng phố,1 Giường đôi,5,2,0,1,139000
1,11.959463000000001,108.44343899999998,25-11-2018,29-11-2018,12,Hướng phố,1 Giường đôi,5,1,0,1,139000
1,11.959463000000001,108.44343899999998,25-11-2018,29-11-2018,24,Hướng vườn,2 Giường đôi,5,4,0,1,139000
1,11.959463000000001,108.44343899999998,25-11-2018,30-11-2018,16,Hướng phố,1 Giường đôi,5,2,0,1,139000
1,11.959463000000001,108.44343899999998,25-11-2018,30-11-2018,12,Hướng phố,1 Giường đôi,5,1,0,1,139000
1,11.959463000000001,108.44343899999998,25-11-2018,30-11-2018,24,Hướng vườn,2 Giường đôi,5,4,0,1,139000
2,11.941378785408,108.43239676778,25-11-2018,26-11-2018,20,Không cửa sổ,1 Giường đôi,14,2,1,1,453000
2,11.941378785408,108.43239676778,25-11-2018,26-11-2018,20,Không cửa sổ,1 Giường đơn,14,1,1,1,453000
2,11.941378785408,108.43239676778,25-11-2018,27-11-2018,20,Không cửa sổ,1 Giường đôi,14,2,1,1,453000
2,11.941378785408,108.43239676778,25-11-2018,27-11-2018,20,Không cửa sổ,1 Giường đơn,14,1,1,1,453000
2,11.941378785408,108.43239676778,25-11-2018,28-11-2018,20,Không cửa sổ,1 Giường đôi,14,2,1,1,453000
2,11.941378785408,108.43239676778,25-11-2018,28-11-2018,20,Không cửa sổ,1 Giường đơn,14,1,1,1,453000
2,11.941378785408,108.43239676778,25-11-2018,29-11-2018,20,Không cửa sổ,1 Giường đôi,14,2,1,1,453000
2,11.941378785408,108.43239676778,25-11-2018,29-11-2018,20,Không cửa sổ,1 Giường đơn,14,1,1,1,453000
2,11.941378785408,108.43239676778,25-11-2018,30-11-2018,20,Không cửa sổ,1 Giường đôi,14,2,1,1,453000
2,11.941378785408,108.43239676778,25-11-2018,30-11-2018,20,Không cửa sổ,1 Giường đơn,14,1,1,1,453000
2,11.941378785408,108.43239676778,25-11-2018,01-12-2018,20,Không cửa sổ,1 Giường đôi,14,2,1,1,453000
2,11.941378785408,108.43239676778,25-11-2018,01-12-2018,20,Không cửa sổ,1 Giường đơn,14,1,1,1,453000
2,11.941378785408,108.43239676778,25-11-2018,02-12-2018,20,Không cửa sổ,1 Giường đôi,14,2,1,1,453000
2,11.941378785408,108.43239676778,25-11-2018,02-12-2018,20,Không cửa sổ,1 Giường đơn,14,1,1,1,453000
2,11.941378785408,108.43239676778,06-01-2019,07-01-2019,20,Không cửa sổ,1 Giường đôi,14,2,1,1,532000
2,11.941378785408,108.43239676778,06-01-2019,07-01-2019,20,Không cửa sổ,1 Giường đơn,14,1,1,1,532000
2,11.941378785408,108.43239676778,06-01-2019,08-01-2019,20,Không cửa sổ,1 Giường đôi,14,2,1,1,532000
2,11.941378785408,108.43239676778,06-01-2019,08-01-2019,20,Không cửa sổ,1 Giường đơn,14,1,1,1,532000
2,11.941378785408,108.43239676778,06-01-2019,09-01-2019,20,Không cửa sổ,1 Giường đôi,14,2,1,1,532000
2,11.941378785408,108.43239676778,06-01-2019,09-01-2019,20,Không cửa sổ,1 Giường đơn,14,1,1,1,532000
2,11.941378785408,108.43239676778,06-01-2019,10-01-2019,20,Không cửa sổ,1 Giường đôi,14,2,1,1,532000
2,11.941378785408,108.43239676778,06-01-2019,10-01-2019,20,Không cửa sổ,1 Giường đơn,14,1,1,1,532000
2,11.941378785408,108.43239676778,06-01-2019,11-01-2019,20,Không cửa sổ,1 Giường đôi,14,2,1,1,532000
2,11.941378785408,108.43239676778,06-01-2019,11-01-2019,20,Không cửa sổ,1 Giường đơn,14,1,1,1,532000
2,11.941378785408,108.43239676778,06-01-2019,12-01-2019,20,Không cửa sổ,1 Giường đôi,14,2,1,1,532000
2,11.941378785408,108.43239676778,06-01-2019,12-01-2019,20,Không cửa sổ,1 Giường đơn,14,1,1,1,532000
2,11.941378785408,108.43239676778,06-01-2019,13-01-2019,20,Không cửa sổ,1 Giường đôi,14,2,1,1,532000
2,11.941378785408,108.43239676778,06-01-2019,13-01-2019,20,Không cửa sổ,1 Giường đơn,14,1,1,1,532000
2,11.941378785408,108.43239676778,07-01-2019,08-01-2019,20,Không cửa sổ,1 Giường đôi,14,2,1,1,532000
2,11.941378785408,108.43239676778,07-01-2019,08-01-2019,20,Không cửa sổ,1 Giường đơn,14,1,1,1,532000
2,11.941378785408,108.43239676778,07-01-2019,09-01-2019,20,Không cửa sổ,1 Giường đôi,14,2,1,1,532000
2,11.941378785408,108.43239676778,07-01-2019,09-01-2019,20,Không cửa sổ,1 Giường đơn,14,1,1,1,532000
2,11.941378785408,108.43239676778,07-01-2019,10-01-2019,20,Không cửa sổ,1 Giường đôi,14,2,1,1,532000
2,11.941378785408,108.43239676778,07-01-2019,10-01-2019,20,Không cửa sổ,1 Giường đơn,14,1,1,1,532000
2,11.941378785408,108.43239676778,07-01-2019,11-01-2019,20,Không cửa sổ,1 Giường đôi,14,2,1,1,532000
2,11.941378785408,108.43239676778,07-01-2019,11-01-2019,20,Không cửa sổ,1 Giường đơn,14,1,1,1,532000
2,11.941378785408,108.43239676778,07-01-2019,12-01-2019,20,Không cửa sổ,1 Giường đôi,14,2,1,1,532000
2,11.941378785408,108.43239676778,07-01-2019,12-01-2019,20,Không cửa sổ,1 Giường đơn,14,1,1,1,532000
1,11.948509,108.44111799999999,25-11-2018,26-11-2018,20,Không cửa sổ,1 Giường đôi,8,2,0,1,294000
1,11.948509,108.44111799999999,25-11-2018,26-11-2018,25,Không cửa sổ,1 Giường đôi,8,2,0,1,294000
1,11.948509,108.44111799999999,25-11-2018,26-11-2018,26,Không cửa sổ,2 Giường đôi,8,4,0,1,294000
1,11.948509,108.44111799999999,25-11-2018,27-11-2018,20,Không cửa sổ,1 Giường đôi,8,2,0,1,294000
1,11.948509,108.44111799999999,25-11-2018,27-11-2018,25,Không cửa sổ,1 Giường đôi,8,2,0,1,294000
1,11.948509,108.44111799999999,25-11-2018,27-11-2018,26,Không cửa sổ,2 Giường đôi,8,4,0,1,294000
1,11.948509,108.44111799999999,25-11-2018,28-11-2018,20,Không cửa sổ,1 Giường đôi,8,2,0,1,294000
1,11.948509,108.44111799999999,25-11-2018,28-11-2018,25,Không cửa sổ,1 Giường đôi,8,2,0,1,294000
1,11.948509,108.44111799999999,25-11-2018,28-11-2018,26,Không cửa sổ,2 Giường đôi,8,4,0,1,294000
1,11.948509,108.44111799999999,25-11-2018,29-11-2018,20,Không cửa sổ,1 Giường đôi,8,2,0,1,294000
1,11.948509,108.44111799999999,25-11-2018,29-11-2018,25,Không cửa sổ,1 Giường đôi,8,2,0,1,294000
1,11.948509,108.44111799999999,25-11-2018,29-11-2018,26,Không cửa sổ,2 Giường đôi,8,4,0,1,294000
1,11.948509,108.44111799999999,25-11-2018,30-11-2018,20,Không cửa sổ,1 Giường đôi,8,2,0,1,294000
1,11.948509,108.44111799999999,25-11-2018,30-11-2018,25,Không cửa sổ,1 Giường đôi,8,2,0,1,294000
1,11.948509,108.44111799999999,25-11-2018,30-11-2018,26,Không cửa sổ,2 Giường đôi,8,4,0,1,294000
1,11.948509,108.44111799999999,25-11-2018,01-12-2018,20,Không cửa sổ,1 Giường đôi,8,2,0,1,294000
1,11.948509,108.44111799999999,25-11-2018,01-12-2018,25,Không cửa sổ,1 Giường đôi,8,2,0,1,294000
1,11.948509,108.44111799999999,25-11-2018,01-12-2018,26,Không cửa sổ,2 Giường đôi,8,4,0,1,294000
1,11.948509,108.44111799999999,25-11-2018,02-12-2018,20,Không cửa sổ,1 Giường đôi,8,2,0,1,294000
1,11.948509,108.44111799999999,25-11-2018,02-12-2018,25,Không cửa sổ,1 Giường đôi,8,2,0,1,294000
1,11.948509,108.44111799999999,25-11-2018,02-12-2018,26,Không cửa sổ,2 Giường đôi,8,4,0,1,294000
1,11.948509,108.44111799999999,06-01-2019,07-01-2019,20,Không cửa sổ,1 Giường đôi,8,2,0,1,294000
1,11.948509,108.44111799999999,06-01-2019,07-01-2019,25,Không cửa sổ,1 Giường đôi,8,2,0,1,294000
1,11.948509,108.44111799999999,06-01-2019,07-01-2019,26,Không cửa sổ,2 Giường đôi,8,4,0,1,294000
1,11.948509,108.44111799999999,06-01-2019,08-01-2019,20,Không cửa sổ,1 Giường đôi,8,2,0,1,294000
1,11.948509,108.44111799999999,06-01-2019,08-01-2019,25,Không cửa sổ,1 Giường đôi,8,2,0,1,294000
1,11.948509,108.44111799999999,06-01-2019,08-01-2019,26,Không cửa sổ,2 Giường đôi,8,4,0,1,294000
1,11.948509,108.44111799999999,06-01-2019,09-01-2019,20,Không cửa sổ,1 Giường đôi,8,2,0,1,294000
1,11.948509,108.44111799999999,06-01-2019,09-01-2019,25,Không cửa sổ,1 Giường đôi,8,2,0,1,294000
1,11.948509,108.44111799999999,06-01-2019,09-01-2019,26,Không cửa sổ,2 Giường đôi,8,4,0,1,294000
1,11.948509,108.44111799999999,06-01-2019,10-01-2019,20,Không cửa sổ,1 Giường đôi,8,2,0,1,294000
1,11.948509,108.44111799999999,06-01-2019,10-01-2019,25,Không cửa sổ,1 Giường đôi,8,2,0,1,294000
1,11.948509,108.44111799999999,06-01-2019,10-01-2019,26,Không cửa sổ,2 Giường đôi,8,4,0,1,294000
1,11.948509,108.44111799999999,06-01-2019,11-01-2019,20,Không cửa sổ,1 Giường đôi,8,2,0,1,294000
1,11.948509,108.44111799999999,06-01-2019,11-01-2019,25,Không cửa sổ,1 Giường đôi,8,2,0,1,294000
1,11.948509,108.44111799999999,06-01-2019,11-01-2019,26,Không cửa sổ,2 Giường đôi,8,4,0,1,294000
1,11.948509,108.44111799999999,06-01-2019,12-01-2019,20,Không cửa sổ,1 Giường đôi,8,2,0,1,294000
1,11.948509,108.44111799999999,06-01-2019,12-01-2019,25,Không cửa sổ,1 Giường đôi,8,2,0,1,294000
1,11.948509,108.44111799999999,06-01-2019,12-01-2019,26,Không cửa sổ,2 Giường đôi,8,4,0,1,294000
1,11.948509,108.44111799999999,06-01-2019,13-01-2019,20,Không cửa sổ,1 Giường đôi,8,2,0,1,294000
1,11.948509,108.44111799999999,06-01-2019,13-01-2019,25,Không cửa sổ,1 Giường đôi,8,2,0,1,294000
1,11.948509,108.44111799999999,06-01-2019,13-01-2019,26,Không cửa sổ,2 Giường đôi,8,4,0,1,294000
1,11.948509,108.44111799999999,07-01-2019,08-01-2019,20,Không cửa sổ,1 Giường đôi,8,2,0,1,294000
1,11.948509,108.44111799999999,07-01-2019,08-01-2019,25,Không cửa sổ,1 Giường đôi,8,2,0,1,294000
1,11.948509,108.44111799999999,07-01-2019,08-01-2019,26,Không cửa sổ,2 Giường đôi,8,4,0,1,294000
1,11.948509,108.44111799999999,07-01-2019,09-01-2019,20,Không cửa sổ,1 Giường đôi,8,2,0,1,294000
1,11.948509,108.44111799999999,07-01-2019,09-01-2019,25,Không cửa sổ,1 Giường đôi,8,2,0,1,294000
1,11.948509,108.44111799999999,07-01-2019,09-01-2019,26,Không cửa sổ,2 Giường đôi,8,4,0,1,294000
1,11.948509,108.44111799999999,07-01-2019,10-01-2019,20,Không cửa sổ,1 Giường đôi,8,2,0,1,294000
1,11.948509,108.44111799999999,07-01-2019,10-01-2019,25,Không cửa sổ,1 Giường đôi,8,2,0,1,294000
1,11.948509,108.44111799999999,07-01-2019,10-01-2019,26,Không cửa sổ,2 Giường đôi,8,4,0,1,294000
1,11.948509,108.44111799999999,07-01-2019,11-01-2019,20,Không cửa sổ,1 Giường đôi,8,2,0,1,294000
1,11.948509,108.44111799999999,07-01-2019,11-01-2019,25,Không cửa sổ,1 Giường đôi,8,2,0,1,294000
1,11.948509,108.44111799999999,07-01-2019,11-01-2019,26,Không cửa sổ,2 Giường đôi,8,4,0,1,294000
1,11.948509,108.44111799999999,07-01-2019,12-01-2019,20,Không cửa sổ,1 Giường đôi,8,2,0,1,294000
1,11.948509,108.44111799999999,07-01-2019,12-01-2019,25,Không cửa sổ,1 Giường đôi,8,2,0,1,294000
1,11.948509,108.44111799999999,07-01-2019,12-01-2019,26,Không cửa sổ,2 Giường đôi,8,4,0,1,294000
5,11.937589431115,108.44129695362,25-11-2018,26-11-2018,28,Hướng vườn,1 Giường đơn / 1 Giường đôi,24,2,1,0,3430000
5,11.937589431115,108.44129695362,25-11-2018,26-11-2018,44,Hướng vườn,1 Giường đơn / 1 Giường đôi,24,2,1,0,3430000
5,11.937589431115,108.44129695362,25-11-2018,26-11-2018,44,Hướng vườn,1 Giường đơn / 1 Giường đôi,24,2,1,0,3430000
5,11.937589431115,108.44129695362,25-11-2018,26-11-2018,90,Hướng vườn,1 Giường đơn / 1 Giường đôi,24,2,1,0,3430000
5,11.937589431115,108.44129695362,25-11-2018,27-11-2018,28,Hướng vườn,1 Giường đơn / 1 Giường đôi,24,2,1,0,3430000
5,11.937589431115,108.44129695362,25-11-2018,27-11-2018,44,Hướng vườn,1 Giường đơn / 1 Giường đôi,24,2,1,0,3430000
5,11.937589431115,108.44129695362,25-11-2018,27-11-2018,44,Hướng vườn,1 Giường đơn / 1 Giường đôi,24,2,1,0,3430000
5,11.937589431115,108.44129695362,25-11-2018,27-11-2018,90,Hướng vườn,1 Giường đơn / 1 Giường đôi,24,2,1,0,3430000
5,11.937589431115,108.44129695362,25-11-2018,28-11-2018,28,Hướng vườn,1 Giường đơn / 1 Giường đôi,24,2,1,0,3430000
5,11.937589431115,108.44129695362,25-11-2018,28-11-2018,44,Hướng vườn,1 Giường đơn / 1 Giường đôi,24,2,1,0,3430000
5,11.937589431115,108.44129695362,25-11-2018,28-11-2018,44,Hướng vườn,1 Giường đơn / 1 Giường đôi,24,2,1,0,3430000
5,11.937589431115,108.44129695362,25-11-2018,28-11-2018,90,Hướng vườn,1 Giường đơn / 1 Giường đôi,24,2,1,0,3430000
5,11.937589431115,108.44129695362,25-11-2018,29-11-2018,28,Hướng vườn,1 Giường đơn / 1 Giường đôi,24,2,1,0,3430000
5,11.937589431115,108.44129695362,25-11-2018,29-11-2018,44,Hướng vườn,1 Giường đơn / 1 Giường đôi,24,2,1,0,3430000
5,11.937589431115,108.44129695362,25-11-2018,29-11-2018,44,Hướng vườn,1 Giường đơn / 1 Giường đôi,24,2,1,0,3430000
5,11.937589431115,108.44129695362,25-11-2018,29-11-2018,90,Hướng vườn,1 Giường đơn / 1 Giường đôi,24,2,1,0,3430000
5,11.937589431115,108.44129695362,25-11-2018,30-11-2018,28,Hướng vườn,1 Giường đơn / 1 Giường đôi,24,2,1,0,3733000
5,11.937589431115,108.44129695362,25-11-2018,30-11-2018,44,Hướng vườn,1 Giường đơn / 1 Giường đôi,24,2,1,0,3733000
5,11.937589431115,108.44129695362,25-11-2018,30-11-2018,44,Hướng vườn,1 Giường đơn / 1 Giường đôi,24,2,1,0,3733000
5,11.937589431115,108.44129695362,25-11-2018,30-11-2018,90,Hướng vườn,1 Giường đơn / 1 Giường đôi,24,2,1,0,3733000
5,11.937589431115,108.44129695362,25-11-2018,01-12-2018,28,Hướng vườn,1 Giường đơn / 1 Giường đôi,24,2,1,0,3733000
5,11.937589431115,108.44129695362,25-11-2018,01-12-2018,44,Hướng vườn,1 Giường đơn / 1 Giường đôi,24,2,1,0,3733000
5,11.937589431115,108.44129695362,25-11-2018,01-12-2018,44,Hướng vườn,1 Giường đơn / 1 Giường đôi,24,2,1,0,3733000
5,11.937589431115,108.44129695362,25-11-2018,01-12-2018,90,Hướng vườn,1 Giường đơn / 1 Giường đôi,24,2,1,0,3733000
5,11.937589431115,108.44129695362,25-11-2018,02-12-2018,28,Hướng vườn,1 Giường đơn / 1 Giường đôi,24,2,1,0,3430000
5,11.937589431115,108.44129695362,25-11-2018,02-12-2018,44,Hướng vườn,1 Giường đơn / 1 Giường đôi,24,2,1,0,3430000
5,11.937589431115,108.44129695362,25-11-2018,02-12-2018,44,Hướng vườn,1 Giường đơn / 1 Giường đôi,24,2,1,0,3430000
5,11.937589431115,108.44129695362,25-11-2018,02-12-2018,90,Hướng vườn,1 Giường đơn / 1 Giường đôi,24,2,1,0,3430000
5,11.937589431115,108.44129695362,06-01-2019,07-01-2019,28,Hướng vườn,1 Giường đơn / 1 Giường đôi,24,2,1,0,3632000
5,11.937589431115,108.44129695362,06-01-2019,07-01-2019,44,Hướng vườn,1 Giường đơn / 1 Giường đôi,24,2,1,0,3632000
5,11.937589431115,108.44129695362,06-01-2019,07-01-2019,44,Hướng vườn,1 Giường đơn / 1 Giường đôi,24,2,1,0,3632000
5,11.937589431115,108.44129695362,06-01-2019,07-01-2019,90,Hướng vườn,1 Giường đơn / 1 Giường đôi,24,2,1,0,3632000
5,11.937589431115,108.44129695362,06-01-2019,08-01-2019,28,Hướng vườn,1 Giường đơn / 1 Giường đôi,24,2,1,0,3632000
5,11.937589431115,108.44129695362,06-01-2019,08-01-2019,44,Hướng vườn,1 Giường đơn / 1 Giường đôi,24,2,1,0,3632000
5,11.937589431115,108.44129695362,06-01-2019,08-01-2019,44,Hướng vườn,1 Giường đơn / 1 Giường đôi,24,2,1,0,3632000
5,11.937589431115,108.44129695362,06-01-2019,08-01-2019,90,Hướng vườn,1 Giường đơn / 1 Giường đôi,24,2,1,0,3632000
5,11.937589431115,108.44129695362,06-01-2019,09-01-2019,28,Hướng vườn,1 Giường đơn / 1 Giường đôi,24,2,1,0,3632000
5,11.937589431115,108.44129695362,06-01-2019,09-01-2019,44,Hướng vườn,1 Giường đơn / 1 Giường đôi,24,2,1,0,3632000
5,11.937589431115,108.44129695362,06-01-2019,09-01-2019,44,Hướng vườn,1 Giường đơn / 1 Giường đôi,24,2,1,0,3632000
5,11.937589431115,108.44129695362,06-01-2019,09-01-2019,90,Hướng vườn,1 Giường đơn / 1 Giường đôi,24,2,1,0,3632000
5,11.937589431115,108.44129695362,06-01-2019,10-01-2019,28,Hướng vườn,1 Giường đơn / 1 Giường đôi,24,2,1,0,3632000
5,11.937589431115,108.44129695362,06-01-2019,10-01-2019,44,Hướng vườn,1 Giường đơn / 1 Giường đôi,24,2,1,0,3632000
5,11.937589431115,108.44129695362,06-01-2019,10-01-2019,44,Hướng vườn,1 Giường đơn / 1 Giường đôi,24,2,1,0,3632000
5,11.937589431115,108.44129695362,06-01-2019,10-01-2019,90,Hướng vườn,1 Giường đơn / 1 Giường đôi,24,2,1,0,3632000
5,11.937589431115,108.44129695362,06-01-2019,11-01-2019,28,Hướng vườn,1 Giường đơn / 1 Giường đôi,24,2,1,0,3934000
5,11.937589431115,108.44129695362,06-01-2019,11-01-2019,44,Hướng vườn,1 Giường đơn / 1 Giường đôi,24,2,1,0,3934000
5,11.937589431115,108.44129695362,06-01-2019,11-01-2019,44,Hướng vườn,1 Giường đơn / 1 Giường đôi,24,2,1,0,3934000
5,11.937589431115,108.44129695362,06-01-2019,11-01-2019,90,Hướng vườn,1 Giường đơn / 1 Giường đôi,24,2,1,0,3934000
5,11.937589431115,108.44129695362,06-01-2019,12-01-2019,28,Hướng vườn,1 Giường đơn / 1 Giường đôi,24,2,1,0,3934000
5,11.937589431115,108.44129695362,06-01-2019,12-01-2019,44,Hướng vườn,1 Giường đơn / 1 Giường đôi,24,2,1,0,3934000
5,11.937589431115,108.44129695362,06-01-2019,12-01-2019,44,Hướng vườn,1 Giường đơn / 1 Giường đôi,24,2,1,0,3934000
5,11.937589431115,108.44129695362,06-01-2019,12-01-2019,90,Hướng vườn,1 Giường đơn / 1 Giường đôi,24,2,1,0,3934000
5,11.937589431115,108.44129695362,06-01-2019,13-01-2019,28,Hướng vườn,1 Giường đơn / 1 Giường đôi,24,2,1,0,3632000
5,11.937589431115,108.44129695362,06-01-2019,13-01-2019,44,Hướng vườn,1 Giường đơn / 1 Giường đôi,24,2,1,0,3632000
5,11.937589431115,108.44129695362,06-01-2019,13-01-2019,44,Hướng vườn,1 Giường đơn / 1 Giường đôi,24,2,1,0,3632000
5,11.937589431115,108.44129695362,06-01-2019,13-01-2019,90,Hướng vườn,1 Giường đơn / 1 Giường đôi,24,2,1,0,3632000
5,11.937589431115,108.44129695362,07-01-2019,08-01-2019,28,Hướng vườn,1 Giường đơn / 1 Giường đôi,24,2,1,0,3632000
5,11.937589431115,108.44129695362,07-01-2019,08-01-2019,44,Hướng vườn,1 Giường đơn / 1 Giường đôi,24,2,1,0,3632000
5,11.937589431115,108.44129695362,07-01-2019,08-01-2019,44,Hướng vườn,1 Giường đơn / 1 Giường đôi,24,2,1,0,3632000
5,11.937589431115,108.44129695362,07-01-2019,08-01-2019,90,Hướng vườn,1 Giường đơn / 1 Giường đôi,24,2,1,0,3632000
5,11.937589431115,108.44129695362,07-01-2019,09-01-2019,28,Hướng vườn,1 Giường đơn / 1 Giường đôi,24,2,1,0,3632000
5,11.937589431115,108.44129695362,07-01-2019,09-01-2019,44,Hướng vườn,1 Giường đơn / 1 Giường đôi,24,2,1,0,3632000
5,11.937589431115,108.44129695362,07-01-2019,09-01-2019,44,Hướng vườn,1 Giường đơn / 1 Giường đôi,24,2,1,0,3632000
5,11.937589431115,108.44129695362,07-01-2019,09-01-2019,90,Hướng vườn,1 Giường đơn / 1 Giường đôi,24,2,1,0,3632000
5,11.937589431115,108.44129695362,07-01-2019,10-01-2019,28,Hướng vườn,1 Giường đơn / 1 Giường đôi,24,2,1,0,3632000
5,11.937589431115,108.44129695362,07-01-2019,10-01-2019,44,Hướng vườn,1 Giường đơn / 1 Giường đôi,24,2,1,0,3632000
5,11.937589431115,108.44129695362,07-01-2019,10-01-2019,44,Hướng vườn,1 Giường đơn / 1 Giường đôi,24,2,1,0,3632000
5,11.937589431115,108.44129695362,07-01-2019,10-01-2019,90,Hướng vườn,1 Giường đơn / 1 Giường đôi,24,2,1,0,3632000
5,11.937589431115,108.44129695362,07-01-2019,11-01-2019,28,Hướng vườn,1 Giường đơn / 1 Giường đôi,24,2,1,0,3934000
5,11.937589431115,108.44129695362,07-01-2019,11-01-2019,44,Hướng vườn,1 Giường đơn / 1 Giường đôi,24,2,1,0,3934000
5,11.937589431115,108.44129695362,07-01-2019,11-01-2019,44,Hướng vườn,1 Giường đơn / 1 Giường đôi,24,2,1,0,3934000
5,11.937589431115,108.44129695362,07-01-2019,11-01-2019,90,Hướng vườn,1 Giường đơn / 1 Giường đôi,24,2,1,0,3934000
5,11.937589431115,108.44129695362,07-01-2019,12-01-2019,28,Hướng vườn,1 Giường đơn / 1 Giường đôi,24,2,1,0,3934000
5,11.937589431115,108.44129695362,07-01-2019,12-01-2019,44,Hướng vườn,1 Giường đơn / 1 Giường đôi,24,2,1,0,3934000
5,11.937589431115,108.44129695362,07-01-2019,12-01-2019,44,Hướng vườn,1 Giường đơn / 1 Giường đôi,24,2,1,0,3934000
5,11.937589431115,108.44129695362,07-01-2019,12-01-2019,90,Hướng vườn,1 Giường đơn / 1 Giường đôi,24,2,1,0,3934000
